"dataname","Name","Competition","NumberSteps","Jump","Height cleared","Height","Cleared","Foot Plant Step 1","Foot Plant Step 2","Foot Plant Step 3","Foot Plant Step 4","Foot Plant Step 5","Foot Plant Step 6","Foot Plant Step 7","Foot Plant Step 8","Foot Plant Step 9","Foot Plant Take-Off","Contact Time 3rd last","Contact Time 2nd last","Contact Time last","Step Time Step 1","Step Time Step 2","Step Time Step 3","Step Time Step 4","Step Time Step 5","Step Time Step 6","Step Time Step 7","Step Time Step 8","Step Time Step 9","Cadencev1Avg","Cadencev1 Step 1","Cadencev1 Step 2","Cadencev1 Step 3","Cadencev1 Step 4","Cadencev1 Step 5","Cadencev1 Step 6","Cadencev1 Step 7","Cadencev1 Step 8","Cadencev1 Step 9","Cadencev2Avg","Cadencev2 Step 1","Cadencev2 Step 2","Cadencev2 Step 3","Cadencev2 Step 4","Cadencev2 Step 5","Cadencev2 Step 6","Cadencev2 Step 7","Cadencev2 Step 8","Cadencev2 Step 9"
"Nicola McDermott_CanberraTrackClassic2020","Nicola McDermott","CanberraTrackClassic2020",10,1,"1.80 O","1.8","Y",0,0.61,1.075,1.58,1.92,2.31,2.64,2.96,3.28,3.47,0.15,0.14,0.17,0.61,0.465,0.505,0.34,0.39,0.33,0.32,0.32,0.19,2.88184438040346,1.63934426229508,1.86046511627907,1.89873417721519,2.08333333333333,2.16450216450216,2.27272727272727,2.36486486486486,2.4390243902439,2.59365994236311,2.88184438040346,1.63934426229508,2.1505376344086,1.98019801980198,2.94117647058824,2.56410256410256,3.03030303030303,3.125,3.125,5.26315789473683
"Nicola McDermott_CanberraTrackClassic2020","Nicola McDermott","CanberraTrackClassic2020",10,2,"1.85 O","1.85","Y",0,0.62,1.11,1.6,1.97,2.35,2.68,2.98,3.29,3.48,0.15,0.14,0.17,0.62,0.49,0.49,0.37,0.38,0.33,0.3,0.31,0.19,2.8735632183908,1.61290322580645,1.8018018018018,1.875,2.03045685279188,2.12765957446809,2.23880597014925,2.3489932885906,2.43161094224924,2.58620689655172,2.8735632183908,1.61290322580645,2.04081632653061,2.04081632653061,2.7027027027027,2.63157894736842,3.03030303030303,3.33333333333334,3.2258064516129,5.26315789473684
"Nicola McDermott_CanberraTrackClassic2020","Nicola McDermott","CanberraTrackClassic2020",10,3,"1.88 O","1.88","Y",0,0.62,1.105,1.585,1.92,2.28,2.63,2.92,3.24,3.42,0.155,0.14,0.17,0.62,0.485,0.48,0.335,0.36,0.35,0.29,0.32,0.18,2.92397660818713,1.61290322580645,1.80995475113122,1.89274447949527,2.08333333333333,2.19298245614035,2.28136882129278,2.3972602739726,2.46913580246914,2.63157894736842,2.92397660818713,1.61290322580645,2.06185567010309,2.08333333333333,2.98507462686567,2.77777777777778,2.85714285714286,3.44827586206897,3.125,5.55555555555556
"Nicola McDermott_CanberraTrackClassic2020","Nicola McDermott","CanberraTrackClassic2020",10,4,"1.91 O","1.91","Y",0,0.615,1.105,1.6,1.99,2.38,2.705,2.995,3.3,3.48,0.155,0.14,0.18,0.615,0.49,0.495,0.39,0.39,0.325,0.29,0.305,0.18,2.8735632183908,1.6260162601626,1.80995475113122,1.875,2.01005025125628,2.10084033613445,2.2181146025878,2.33722871452421,2.42424242424242,2.58620689655172,2.8735632183908,1.6260162601626,2.04081632653061,2.02020202020202,2.56410256410256,2.56410256410256,3.07692307692308,3.44827586206897,3.27868852459017,5.55555555555555
"Nicola McDermott_CanberraTrackClassic2020","Nicola McDermott","CanberraTrackClassic2020",10,5,"1.94 O","1.94","Y",0,0.58,1.08,1.54,1.925,2.29,2.61,2.9,3.21,3.395,0.15,0.14,0.175,0.58,0.5,0.46,0.385,0.365,0.32,0.29,0.31,0.185,2.94550810014728,1.72413793103448,1.85185185185185,1.94805194805195,2.07792207792208,2.18340611353712,2.29885057471264,2.41379310344828,2.49221183800623,2.65095729013255,2.94550810014728,1.72413793103448,2,2.17391304347826,2.5974025974026,2.73972602739726,3.125,3.44827586206897,3.2258064516129,5.4054054054054
"Nicola McDermott_CanberraTrackClassic2020","Nicola McDermott","CanberraTrackClassic2020",10,6,"1.96 X","1.96","N",0,0.63,1.11,1.59,1.97,2.345,2.67,2.94,3.25,3.43,0.15,0.14,0.17,0.63,0.48,0.48,0.38,0.375,0.325,0.27,0.31,0.18,2.91545189504373,1.58730158730159,1.8018018018018,1.88679245283019,2.03045685279188,2.13219616204691,2.24719101123596,2.38095238095238,2.46153846153846,2.62390670553936,2.91545189504373,1.58730158730159,2.08333333333333,2.08333333333333,2.63157894736842,2.66666666666667,3.07692307692308,3.7037037037037,3.2258064516129,5.55555555555555
"Nicola McDermott_CanberraTrackClassic2020","Nicola McDermott","CanberraTrackClassic2020",10,7,"1.96 XX","1.96","N",0,0.625,1.125,1.6,1.96,2.34,2.65,2.95,3.24,3.435,0.15,0.145,0.175,0.625,0.5,0.475,0.36,0.38,0.31,0.3,0.29,0.195,2.91120815138282,1.6,1.77777777777778,1.875,2.04081632653061,2.13675213675214,2.26415094339623,2.3728813559322,2.46913580246914,2.62008733624454,2.91120815138282,1.6,2,2.10526315789474,2.77777777777778,2.63157894736842,3.2258064516129,3.33333333333333,3.44827586206897,5.12820512820513
"Nicola McDermott_CanberraTrackClassic2020","Nicola McDermott","CanberraTrackClassic2020",10,8,"1.96 XO","1.96","Y",0,0.605,1.1,1.545,1.88,2.24,2.58,2.87,3.2,3.39,0.16,0.14,0.18,0.605,0.495,0.445,0.335,0.36,0.34,0.29,0.33,0.19,2.94985250737463,1.65289256198347,1.81818181818182,1.94174757281553,2.12765957446809,2.23214285714286,2.32558139534884,2.4390243902439,2.5,2.65486725663717,2.94985250737463,1.65289256198347,2.02020202020202,2.24719101123596,2.98507462686567,2.77777777777778,2.94117647058824,3.44827586206897,3.03030303030303,5.26315789473684
"Nicola McDermott_CanberraTrackClassic2020","Nicola McDermott","CanberraTrackClassic2020",10,9,"1.98 X","1.98","N",0,0.62,1.08,1.54,1.89,2.25,2.59,2.89,3.21,3.38,0.15,0.14,0.19,0.62,0.46,0.46,0.35,0.36,0.34,0.3,0.32,0.17,2.9585798816568,1.61290322580645,1.85185185185185,1.94805194805195,2.11640211640212,2.22222222222222,2.31660231660232,2.42214532871972,2.49221183800623,2.66272189349112,2.9585798816568,1.61290322580645,2.17391304347826,2.17391304347826,2.85714285714286,2.77777777777778,2.94117647058824,3.33333333333333,3.125,5.88235294117647
"Nicola McDermott_CanberraTrackClassic2020","Nicola McDermott","CanberraTrackClassic2020",10,10,"1.98 XX","1.98","N",0,0.615,1.105,1.56,1.91,2.28,2.6,2.885,3.2,3.38,0.155,0.13,0.17,0.615,0.49,0.455,0.35,0.37,0.32,0.285,0.315,0.18,2.9585798816568,1.6260162601626,1.80995475113122,1.92307692307692,2.09424083769634,2.19298245614035,2.30769230769231,2.4263431542461,2.5,2.66272189349112,2.9585798816568,1.6260162601626,2.04081632653061,2.1978021978022,2.85714285714286,2.7027027027027,3.125,3.50877192982457,3.17460317460317,5.55555555555556
