Fill in these cells only,,,,,Jump number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Adjust  the report to the number of jumps and steps for each individual athlete,,,,,"Height and if cleared (e.g. 2.19 O, 2.24 XO)",2.12 O,2.16 O,2.20 O,2.24 O,2.27 O,2.30 X,2.30 XX,2.30 XXO,2.33 X,2.33 XX,2.33 XXX,,,,
,,,,,Height (2.19),2.12,2.16,2.20,2.24,2.27,2.30,2.30,2.30,2.33,2.33,2.33,,,,
Competition Name:,Sydney Track Classic,,,,Cleared,Y,Y,Y,Y,Y,N,N,Y,N,N,N,,,,
Competition Date (dd/mm/yyyy):,43884,,,,No. Foot Contact / Toe-Off,Foot Contact / Toe-Off Timing,,,,,,,,,,,,,,
Location:,Sydney,,,,Foot Plant 1,0,0,0,0,0,0,0,0,,0,0,,,,
Athlete Name:,"Starc, B",,,,Foot Plant 2,0.65,0.62,0.64,0.6,0.62,0.6,0.64,0.64,,0.64,0.62,,,,
Entry Height:,2.12 m,,,,Foot Plant 3,1.26,1.22,1.23,1.2,1.24,1.21,1.23,1.24,,1.26,1.22,,,,
Best Clearance Height:,2.30 m,,,,Foot Plant 4,1.87,1.82,1.85,1.8,1.84,1.81,1.84,1.84,,1.86,1.78,,,,
Number of Jumps:,11,,,,Foot Plant 5,2.52,2.5,2.5,2.48,2.5,2.46,2.51,2.51,,2.52,2.45,,,,
Number Steps in Run Up,14,,,,Foot Plant 6,3.16,3.12,3.12,3.11,3.11,3.08,3.12,3.14,,3.14,3.05,,,,
,,,,,Foot Plant 7,3.8,3.76,3.74,3.74,3.73,3.7,3.76,3.76,,3.78,3.67,,,,
,,,,,Foot Plant 8,4.38,4.38,4.34,4.36,4.32,4.3,4.38,4.36,,4.34,4.27,,,,
Calculate contact and phase timings,,,,,Foot Plant 9,4.98,4.99,4.93,4.92,4.92,4.87,4.94,4.94,,4.91,4.84,,,,
Camera Frame Rate (Hz),Conversion Factor,,,,Foot Plant 10,5.54,5.53,5.48,5.45,5.46,5.42,5.47,5.48,,5.47,5.42,,,,
100,2,,,,Foot Plant 11,6.12,6.12,6.04,6.02,6.02,5.98,6.06,6.08,,6.02,5.95,,,,
,50,,,,Foot Plant 12,6.62,6.57,6.52,6.48,6.5,6.44,6.52,6.58,0,6.46,6.44,,,,
,,,,,3rd Last Contact Toe-Off Time,6.88,6.84,6.78,6.74,6.76,6.7,6.78,6.84,0.26,6.72,6.7,,,,
,,,,,Foot Plant 13,7.13,7.1,7.05,7,7.04,6.96,7.04,7.1,0.54,7,6.98,,,,
,,,,,2nd Last Contact Toe-Off Time,7.4,7.38,7.33,7.28,7.32,7.24,7.32,7.38,0.8,7.28,7.25,,,,
,,,,,Take- Off Plant,7.54,7.5,7.46,7.4,7.45,7.36,7.44,7.5,0.92,7.4,7.36,,,,
,,,,,Take-Off Contact Toe-Off Time,7.82,7.78,7.72,7.68,7.74,7.64,7.72,7.76,1.2,7.67,7.66,,,,
