Fill in these cells only,,,,,Jump number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Adjust  the report to the number of jumps and steps for each individual athlete,,,,,"Height and if cleared (e.g. 2.19 O, 2.24 XO)",1.86 O,1.90 O,1.93 X,1.93 XO,1.96 X,1.96 XO,1.99 X,1.99 XX,1.99 XXO,2.01 X,2.01 XX,2.01 XXX,,,
,,,,,Height (2.19),1.86,1.9,1.93,1.93,1.96,1.96,1.99,1.99,1.99,2.01,2.01,2.01,,,
Competition Name:,Wellington Track Classic,,,,Cleared,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,,,
Competition Date (dd/mm/yyyy):,43889,,,,No. Foot Contact / Toe-Off,Foot Contact / Toe-Off Timing,,,,,,,,,,,,,,
Location:,Wellington,,,,Foot Plant 1,0,0,0,0,0,0,0,0,0,0,0,0,,,
Athlete Name:,"Patterson,E",,,,Foot Plant 2,0.8,0.76,0.74,0.76,0.74,0.76,0.76,0.74,0.74,0.76,0.72,0.71,,,
Entry Height:,1.86 m,,,,Foot Plant 3,1.35,1.31,1.27,1.31,1.26,1.3,1.31,1.29,1.28,1.31,1.28,1.26,,,
Best Clearance Height:,1.99 m,,,,Foot Plant 4,2.1,2.05,2.01,2.04,2.01,2.01,2.05,2,2.04,2.02,2.01,1.98,,,
Number of Jumps:,12,,,,Foot Plant 5,2.73,2.68,2.66,2.68,2.66,2.63,2.69,2.6,2.68,2.66,2.62,2.59,,,
Number Steps in Run Up,11,,,,Foot Plant 6,3.34,3.29,3.24,3.27,3.26,3.24,3.28,3.2,3.3,3.26,3.24,3.2,,,
,,,,,Foot Plant 7,3.94,3.9,3.86,3.87,3.83,3.82,3.86,3.8,3.88,3.83,3.82,3.78,,,
,,,,,Foot Plant 8,4.49,4.43,4.42,4.4,4.37,4.4,4.41,4.31,4.42,4.38,4.38,4.33,,,
Calculate contact and phase timings,,,,,Foot Plant 9,5.02,4.95,4.94,4.9,4.89,4.89,4.93,4.81,4.91,4.86,4.88,4.84,,,
Camera Frame Rate (Hz),Conversion Factor,,,,3rd Last Contact Toe-Off Time,5.3,5.24,5.22,5.18,5.18,5.18,5.22,5.1,5.2,5.14,5.16,5.14,,,
100,2,,,,Foot Plant 10,5.68,5.61,5.56,5.52,5.52,5.54,5.59,5.44,5.56,5.5,5.52,5.5,,,
,50,,,,2nd Last Contact Toe-Off Time,5.98,5.9,5.88,5.82,5.82,5.84,5.88,5.74,5.88,5.8,5.82,5.83,,,
,,,,,Take- Off Plant,6.08,6.01,5.96,5.94,5.95,5.94,5.98,5.83,6,5.88,5.92,5.92,,,
,,,,,Take-Off Contact Toe-Off Time,6.4,6.36,6.32,6.3,6.32,6.3,6.34,6.2,6.34,6.24,6.28,6.28,,,
